date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,193.833,3.417,5.75,6.167,0.417,1.917,,197.25
2011-01-02,190.091,5.182,5.348,5.826,0.478,1.625,,195.273
2011-01-03,195.125,8.917,8.25,9.625,1.375,1.0,,204.042
2011-01-04,190.5,5.208,5.708,6.833,1.125,1.042,,195.708
2011-01-05,189.542,7.0,7.75,8.875,1.125,1.542,,196.542
2011-01-06,191.5,11.458,11.5,15.917,4.417,1.042,,202.958
2011-01-07,195.5,11.583,11.5,23.917,12.417,1.375,,207.083
2011-01-08,196.125,12.0,9.625,14.583,4.958,2.25,,208.125
2011-01-09,195.818,7.136,11.792,16.583,4.792,2.333,,202.955
2011-01-10,202.5,13.917,14.042,24.083,10.042,4.0,,216.417
2011-01-11,192.083,5.5,9.542,13.042,3.5,2.667,,197.583
2011-01-12,191.625,7.458,12.708,17.417,4.708,1.75,,199.083
2011-01-13,193.708,7.958,11.708,18.625,6.917,3.042,,201.667
2011-01-14,195.087,11.783,16.083,22.583,6.5,2.739,,206.87
2011-01-15,196.125,5.333,8.167,9.375,1.208,0.333,,201.458
2011-01-16,190.545,8.318,12.304,15.13,2.826,0.333,,198.864
2011-01-17,190.25,12.667,10.708,15.5,4.792,0.609,,202.917
2011-01-18,193.25,12.208,10.583,17.708,7.125,1.458,,205.458
2011-01-19,189.375,9.833,10.5,12.667,2.167,1.042,,199.208
2011-01-20,189.542,14.083,11.25,18.5,7.25,1.292,,203.625
2011-01-21,189.435,12.826,10.208,15.0,4.792,1.75,,202.261
2011-01-22,190.583,8.5,6.25,8.667,2.417,0.417,,199.083
2011-01-23,188.136,6.591,4.917,5.292,0.375,1.0,,194.727
2011-01-24,189.583,6.167,5.125,5.667,0.542,1.375,,195.75
2011-01-25,192.625,8.75,10.333,13.958,3.625,1.292,,201.375
2011-01-26,191.458,8.875,9.542,12.458,2.917,0.75,,200.333
2011-01-27,193.909,11.091,12.5,16.667,4.167,0.955,,205.0
2011-01-28,191.75,8.708,11.583,13.958,2.375,1.208,,200.458
2011-01-29,192.375,9.792,8.333,9.833,1.5,1.958,,202.167
2011-01-30,194.409,11.773,12.739,18.609,5.87,1.583,,206.182
2011-01-31,195.375,13.458,15.75,26.625,10.875,3.609,,208.833
2011-02-01,197.542,11.125,10.167,12.708,2.542,1.25,,208.667
2011-02-02,189.292,4.792,4.292,4.75,0.458,0.292,,194.083
2011-02-03,191.913,9.391,13.208,17.375,4.167,1.0,,201.304
2011-02-04,193.435,11.696,11.458,17.542,6.083,1.167,,205.13
2011-02-05,195.625,11.292,8.208,9.833,1.625,1.292,,206.917
2011-02-06,190.227,10.182,7.0,9.208,2.208,0.667,,200.409
2011-02-07,182.25,8.875,5.542,6.083,0.542,0.833,,191.125
2011-02-08,182.875,6.583,3.833,4.208,0.375,0.435,,189.458
2011-02-09,183.708,9.667,7.208,8.25,1.042,0.792,,193.375
2011-02-10,185.75,11.667,10.083,15.5,5.417,0.917,,197.417
2011-02-11,183.792,9.875,9.083,11.0,1.917,1.125,,193.667
2011-02-12,187.542,9.5,8.0,10.167,2.167,4.042,,197.042
2011-02-13,189.0,7.273,8.391,10.087,1.696,0.792,,196.273
2011-02-14,191.087,10.348,11.792,16.583,4.792,0.375,,201.435
2011-02-15,192.083,13.875,10.583,12.458,1.875,0.708,,205.958
2011-02-16,190.125,8.292,7.542,8.042,0.5,1.042,,198.417
2011-02-17,191.0,5.0,5.833,6.458,0.625,1.5,,196.0
2011-02-18,192.292,5.5,3.458,3.792,0.333,1.167,,197.792
2011-02-19,191.583,3.625,3.542,3.875,0.333,0.792,,195.208
2011-02-20,189.136,7.864,8.333,10.833,2.5,0.958,,197.0
2011-02-21,192.542,11.292,10.333,15.0,4.667,1.708,,203.833
2011-02-22,187.75,8.583,6.792,8.0,1.208,2.042,,196.333
2011-02-23,185.182,7.682,5.083,5.625,0.542,0.727,,192.864
2011-02-24,190.25,12.0,9.708,11.708,2.0,2.75,,202.25
2011-02-25,187.625,9.208,5.5,5.75,0.25,1.167,,196.833
2011-02-26,187.625,8.042,5.708,5.958,0.25,0.833,,195.667
2011-02-27,192.273,9.045,8.391,12.478,4.087,0.667,,201.318
2011-02-28,189.917,7.458,7.083,7.792,0.708,0.708,,197.375
2011-03-01,188.083,8.542,8.625,9.708,1.083,1.0,,196.625
2011-03-02,190.25,12.667,11.125,15.292,4.167,0.625,,202.917
2011-03-03,186.792,6.75,5.833,6.625,0.792,1.125,,193.542
2011-03-04,187.75,5.25,3.833,3.917,0.083,1.0,,193.0
2011-03-05,187.727,11.273,8.417,10.417,2.0,1.0,,199.0
2011-03-06,191.583,5.25,5.917,6.5,0.583,1.167,,196.833
2011-03-07,195.583,7.792,10.1,11.85,1.75,1.773,,203.375
2011-03-08,197.682,9.182,8.571,11.524,2.952,1.1,,206.864
2011-03-09,192.458,7.25,7.208,8.0,0.792,1.958,,199.708
2011-03-10,190.708,4.75,6.583,6.792,0.208,1.0,,195.458
2011-03-11,193.25,5.25,7.833,9.083,1.25,3.583,,198.5
2011-03-12,188.727,10.864,5.957,6.565,0.609,1.0,,199.591
2011-03-13,189.833,7.75,10.958,13.292,2.333,1.083,,197.583
2011-03-14,197.889,9.333,9.583,13.083,3.5,2.0,,207.222
2011-03-15,196.955,12.773,11.708,16.583,4.875,2.625,,209.727
2011-03-16,192.75,14.208,9.583,10.167,0.583,3.542,,206.958
2011-03-17,190.833,15.708,11.083,12.0,0.917,0.917,,206.542
2011-03-18,191.417,14.958,7.792,8.042,0.25,0.417,,206.375
2011-03-19,192.565,14.957,9.333,11.375,2.042,0.917,,207.522
2011-03-20,191.667,13.083,8.375,9.875,1.5,0.667,,204.75
2011-03-21,195.211,15.474,10.75,13.458,2.708,0.818,,210.684
2011-03-22,193.625,12.583,8.375,10.708,2.333,2.417,,206.208
2011-03-23,186.083,10.375,3.0,3.042,0.042,0.375,,196.458
2011-03-24,190.833,8.083,8.458,9.917,1.458,1.542,,198.917
2011-03-25,191.375,7.5,6.917,8.042,1.125,1.25,,198.875
2011-03-26,192.609,9.391,7.0,7.696,0.696,0.708,,202.0
2011-03-27,196.5,10.542,10.208,12.667,2.458,0.958,,207.042
2011-03-28,196.708,14.292,8.708,10.875,2.167,1.458,,211.0
2011-03-29,195.167,12.583,8.417,9.625,1.208,2.208,,207.75
2011-03-30,189.875,12.125,6.583,7.0,0.417,1.833,,202.0
2011-03-31,189.583,10.708,6.5,7.375,0.875,0.708,,200.292
2011-04-01,191.542,11.875,9.25,10.542,1.292,1.708,,203.417
2011-04-02,188.583,12.708,7.167,8.375,1.208,1.167,,201.292
2011-04-03,187.625,11.292,6.875,7.417,0.542,0.792,,198.917
2011-04-04,188.227,13.045,7.125,7.75,0.625,3.25,,201.273
2011-04-05,189.0,12.042,7.292,8.375,1.083,3.435,,201.042
2011-04-06,188.042,12.75,7.167,8.25,1.083,2.875,,200.792
2011-04-07,185.958,11.458,4.75,5.25,0.5,0.25,,197.417
2011-04-08,185.0,13.208,5.292,5.917,0.625,0.042,,198.208
2011-04-09,187.417,12.75,5.625,5.833,0.208,0.0,,200.167
2011-04-10,189.958,12.042,6.083,6.833,0.75,0.625,,202.0
2011-04-11,192.318,12.136,7.609,8.87,1.261,0.542,,204.455
2011-04-12,189.958,12.208,10.542,12.125,1.583,0.417,,202.167
2011-04-13,191.083,12.583,8.958,10.25,1.292,1.125,,203.667
2011-04-14,190.125,11.5,7.917,9.417,1.5,0.167,,201.625
2011-04-15,188.136,12.5,8.083,9.125,1.042,0.348,,200.636
2011-04-16,190.667,15.417,8.042,9.875,1.833,0.625,,206.083
2011-04-17,191.25,14.125,6.417,6.875,0.458,0.792,,205.375
2011-04-18,187.909,9.409,6.0,6.667,0.667,1.375,,197.318
2011-04-19,190.273,7.909,7.042,7.833,0.792,0.227,,198.182
2011-04-20,191.333,10.333,9.042,11.667,2.625,0.375,,201.667
2011-04-21,192.792,10.458,8.25,10.083,1.833,4.208,,203.25
2011-04-22,188.875,10.5,9.583,10.792,1.208,1.875,,199.375
2011-04-23,188.417,9.458,4.75,4.833,0.083,0.0,,197.875
2011-04-24,193.417,8.542,6.667,7.25,0.583,0.375,,201.958
2011-04-25,189.5,11.0,7.304,8.565,1.261,0.5,,200.5
2011-04-26,186.625,10.417,5.125,5.917,0.792,1.792,,197.042
2011-04-27,182.522,14.652,5.125,5.708,0.583,0.208,,197.174
2011-04-28,185.542,10.0,4.25,4.375,0.125,0.125,,195.542
2011-04-29,188.125,11.458,5.875,6.75,0.875,0.208,,199.583
2011-04-30,184.333,12.5,4.75,4.917,0.167,3.5,,196.833
2011-05-01,182.375,11.958,3.292,3.333,0.042,0.0,,194.333
2011-05-02,187.864,10.545,4.333,4.708,0.375,0.0,,198.409
2011-05-03,188.792,11.5,5.125,5.542,0.417,0.0,,200.292
2011-05-04,188.292,10.375,4.0,4.208,0.208,0.667,,198.667
2011-05-05,186.75,10.083,4.667,5.625,0.958,0.125,,196.833
2011-05-06,184.042,10.375,4.458,4.917,0.458,0.0,,194.417
2011-05-07,182.875,12.458,5.333,6.25,0.917,1.0,,195.333
2011-05-08,183.0,11.917,4.0,4.833,0.833,0.0,,194.917
2011-05-09,181.429,12.0,4.45,6.2,1.75,1.783,,193.429
2011-05-10,177.625,12.625,3.958,5.833,1.875,0.333,,190.25
2011-05-11,177.542,11.625,3.375,5.25,1.875,1.25,,189.167
2011-05-12,179.4,10.5,3.875,5.75,1.875,0.042,,189.9
2011-05-13,180.375,9.375,6.958,7.625,0.667,0.792,,189.75
2011-05-14,183.125,11.25,8.875,10.75,1.875,1.333,,194.375
2011-05-15,181.043,10.391,7.292,8.5,1.208,1.375,,191.435
2011-05-16,193.0,12.818,10.0,13.708,3.708,1.13,,205.818
2011-05-17,189.625,11.083,6.542,7.583,1.042,0.458,,200.708
2011-05-18,189.417,11.5,7.25,8.125,0.875,0.958,,200.917
2011-05-19,185.348,11.13,8.125,8.958,0.833,3.958,,196.478
2011-05-20,181.792,11.833,4.667,5.375,0.708,0.417,,193.625
2011-05-21,180.625,11.375,4.708,5.667,0.958,0.208,,192.0
2011-05-22,181.583,11.083,4.042,4.75,0.708,0.0,,192.667
2011-05-23,183.091,13.182,7.087,9.174,2.087,0.0,,196.273
2011-05-24,184.583,11.333,4.75,5.292,0.542,0.083,,195.917
2011-05-25,185.19,10.286,3.917,4.333,0.417,0.136,,195.476
2011-05-26,183.875,12.625,5.875,6.833,0.958,0.0,,196.5
2011-05-27,187.75,20.167,7.792,8.375,0.583,0.333,,207.917
2011-05-28,187.875,13.833,6.958,8.333,1.375,0.0,,201.708
2011-05-29,183.458,11.5,5.083,5.792,0.708,0.042,,194.958
2011-05-30,184.636,13.636,5.333,5.667,0.333,0.0,,198.273
2011-05-31,187.958,14.208,6.542,7.542,1.0,3.167,,202.167
2011-06-01,186.75,13.625,8.292,9.708,1.417,1.417,,200.375
2011-06-02,183.875,11.667,4.917,5.958,1.042,0.958,,195.542
2011-06-03,185.792,14.25,6.417,7.833,1.417,0.542,,200.042
2011-06-04,184.875,11.833,4.708,5.333,0.625,0.5,,196.708
2011-06-05,183.75,9.458,3.708,3.917,0.208,0.125,,193.208
2011-06-06,184.05,11.8,5.217,6.174,0.957,1.696,,195.85
2011-06-07,182.75,11.167,7.25,8.208,0.958,0.25,,193.917
2011-06-08,182.208,13.208,3.5,3.583,0.083,0.583,,195.417
2011-06-09,187.167,14.458,4.333,5.208,0.875,0.167,,201.625
2011-06-10,179.5,12.167,6.0,8.0,2.0,0.042,,191.667
2011-06-11,173.917,7.667,1.542,1.917,0.375,0.0,,181.583
2011-06-12,177.042,8.042,2.542,3.25,0.708,0.0,,185.083
2011-06-13,181.545,10.682,3.125,3.208,0.083,0.0,,192.227
2011-06-14,187.083,12.667,7.375,8.292,0.917,0.783,,199.75
2011-06-15,184.958,10.917,6.083,6.75,0.667,0.208,,195.875
2011-06-16,181.391,9.957,5.708,6.75,1.042,0.042,,191.348
2011-06-17,184.167,12.917,4.083,4.458,0.375,0.042,,197.083
2011-06-18,176.125,9.667,4.125,4.75,0.625,0.0,,185.792
2011-06-19,177.458,8.958,4.292,6.083,1.792,0.0,,186.417
2011-06-20,178.818,8.455,4.739,5.87,1.13,0.042,,187.273
2011-06-21,179.375,9.208,7.042,10.208,3.167,0.125,,188.583
2011-06-22,180.409,11.091,4.042,7.083,3.042,3.0,,191.5
2011-06-23,176.182,8.364,2.375,6.458,4.083,2.818,,184.545
2011-06-24,175.458,8.583,3.917,6.625,2.708,2.458,,184.042
2011-06-25,174.5,7.958,2.417,3.833,1.417,0.375,,182.458
2011-06-26,174.375,6.042,1.167,1.583,0.417,0.875,,180.417
2011-06-27,174.773,8.818,2.75,3.917,1.167,1.917,,183.591
2011-06-28,175.875,10.417,2.667,4.625,1.958,4.542,,186.292
2011-06-29,179.792,11.083,3.667,7.875,4.208,2.25,,190.875
2011-06-30,178.542,10.208,4.5,8.833,4.333,2.083,,188.75
2011-07-01,174.792,9.5,2.5,3.708,1.208,0.042,,184.292
2011-07-02,177.25,10.25,2.75,5.042,2.292,0.167,,187.5
2011-07-03,173.792,9.333,1.208,1.75,0.542,0.583,,183.125
2011-07-04,174.545,8.409,1.435,2.13,0.696,0.0,,182.955
2011-07-05,184.0,11.913,5.304,6.174,0.87,0.217,,195.913
2011-07-06,175.625,8.833,2.542,4.125,1.583,0.042,,184.458
2011-07-07,173.792,8.167,1.875,3.458,1.583,0.375,,181.958
2011-07-08,174.625,9.75,3.042,5.125,2.083,4.0,,184.375
2011-07-09,175.25,9.042,2.583,3.75,1.167,0.333,,184.292
2011-07-10,176.292,8.708,2.083,3.583,1.5,2.125,,185.0
2011-07-11,177.409,10.455,3.958,5.625,1.667,3.125,,187.864
2011-07-12,177.167,9.333,3.0,4.542,1.542,0.75,,186.5
2011-07-13,176.875,9.708,3.667,6.0,2.333,0.917,,186.583
2011-07-14,176.292,8.792,3.542,5.5,1.958,3.625,,185.083
2011-07-15,178.625,9.417,3.583,5.833,2.25,2.667,,188.042
2011-07-16,181.0,9.708,2.833,4.208,1.375,1.375,,190.708
2011-07-17,177.708,8.875,2.292,3.375,1.083,0.375,,186.583
2011-07-18,175.818,9.727,2.435,3.391,0.957,0.125,,185.545
2011-07-19,174.5,10.227,2.625,3.292,0.667,0.591,,184.727
2011-07-20,177.375,9.917,3.5,4.583,1.083,0.833,,187.292
2011-07-21,181.625,12.542,4.417,5.417,1.0,0.792,,194.167
2011-07-22,188.5,11.292,4.542,5.833,1.292,2.417,,199.792
2011-07-23,186.042,10.375,3.583,4.792,1.208,3.667,,196.417
2011-07-24,187.333,9.75,3.083,4.75,1.667,1.583,,197.083
2011-07-25,183.773,9.864,4.333,6.458,2.125,3.333,,193.636
2011-07-26,181.875,8.292,4.042,5.417,1.375,0.25,,190.167
2011-07-27,179.667,9.0,3.458,5.542,2.083,1.625,,188.667
2011-07-28,181.5,8.958,2.5,5.708,3.208,3.083,,190.458
2011-07-29,180.917,10.917,3.167,6.083,2.917,1.583,,191.833
2011-07-30,180.375,8.833,2.208,3.833,1.625,0.375,,189.208
2011-07-31,176.583,10.0,2.583,3.75,1.167,0.667,,186.583
2011-08-01,179.773,7.364,4.348,6.783,2.435,0.783,,187.136
2011-08-02,180.083,7.042,4.083,5.708,1.625,0.25,,187.125
2011-08-03,176.708,5.833,2.958,4.917,1.958,0.0,,182.542
2011-08-04,174.875,5.833,2.583,4.0,1.417,0.0,,180.708
2011-08-05,174.625,6.708,3.792,6.333,2.542,0.0,,181.333
2011-08-06,173.417,5.583,2.333,3.5,1.167,0.917,,179.0
2011-08-07,173.25,3.75,1.333,2.167,0.833,0.25,,177.0
2011-08-08,175.136,8.318,2.333,3.5,1.167,0.542,,183.455
2011-08-09,177.364,9.364,2.5,4.667,2.167,0.625,,186.727
2011-08-10,178.083,9.542,3.208,5.958,2.75,3.5,,187.625
2011-08-11,178.833,8.5,3.167,5.708,2.542,0.542,,187.333
2011-08-12,176.625,7.792,3.292,5.375,2.083,0.167,,184.417
2011-08-13,178.625,7.167,1.875,2.958,1.083,0.0,,185.792
2011-08-14,178.375,8.333,2.417,2.917,0.5,0.0,,186.708
2011-08-15,173.136,6.227,1.826,2.391,0.565,0.0,,179.364
2011-08-16,172.167,5.625,1.292,2.083,0.792,0.0,,177.792
2011-08-17,172.227,8.0,2.042,3.458,1.417,0.0,,180.227
2011-08-18,177.25,7.958,2.167,2.625,0.458,0.0,,185.208
2011-08-19,179.458,8.75,3.167,3.667,0.5,0.125,,188.208
2011-08-20,177.625,8.792,2.75,3.167,0.417,0.0,,186.417
2011-08-21,181.375,9.0,4.083,4.917,0.833,0.125,,190.375
2011-08-22,184.818,9.091,4.708,6.125,1.417,0.042,,193.909
2011-08-23,178.708,8.375,3.458,5.833,2.375,1.0,,187.083
2011-08-24,179.375,8.958,4.292,7.042,2.75,1.25,,188.333
2011-08-25,184.625,10.5,4.083,7.542,3.458,0.087,,195.125
2011-08-26,179.75,12.458,3.708,5.333,1.625,0.542,,192.208
2011-08-27,183.167,8.625,3.458,4.917,1.458,0.5,,191.792
2011-08-28,182.875,7.625,2.542,3.292,0.75,0.542,,190.5
2011-08-29,181.227,11.045,3.783,5.0,1.217,0.708,,192.273
2011-08-30,182.542,10.375,4.833,6.5,1.667,0.667,,192.917
2011-08-31,187.208,15.5,5.917,7.583,1.667,1.0,,202.708
2011-09-01,184.5,13.375,6.708,9.292,2.583,0.875,,197.875
2011-09-02,175.708,12.833,4.458,5.417,0.958,0.0,,188.542
2011-09-03,176.083,8.917,6.25,8.458,2.208,0.0,,185.0
2011-09-04,179.125,9.667,4.75,5.375,0.625,0.0,,188.792
2011-09-05,184.5,5.682,3.917,4.208,0.292,0.042,,190.182
2011-09-06,190.667,7.125,5.917,7.0,1.083,0.667,,197.792
2011-09-07,193.667,10.208,5.542,6.917,1.375,0.458,,203.875
2011-09-08,190.917,4.708,5.417,6.708,1.292,0.826,,195.625
2011-09-09,184.875,3.75,4.167,5.208,1.042,0.458,,188.625
2011-09-10,181.458,3.542,3.0,4.208,1.208,1.458,,185.0
2011-09-11,179.167,1.958,2.417,3.458,1.042,0.0,,181.125
2011-09-12,180.864,6.636,4.304,6.043,1.739,0.167,,187.5
2011-09-13,183.364,7.5,4.542,6.333,1.792,2.458,,190.864
2011-09-14,184.333,9.208,5.417,8.5,3.083,2.0,,193.542
2011-09-15,180.792,8.583,4.125,6.333,2.208,0.917,,189.375
2011-09-16,177.667,7.458,3.917,6.042,2.125,0.0,,185.125
2011-09-17,178.75,6.333,3.208,4.667,1.458,0.125,,185.083
2011-09-18,177.583,6.542,2.792,4.042,1.25,0.0,,184.125
2011-09-19,177.5,7.727,2.417,3.417,1.0,0.042,,185.227
2011-09-20,182.318,8.773,5.958,7.208,1.25,0.0,,191.091
2011-09-21,185.043,10.913,4.625,5.208,0.583,0.0,,195.957
2011-09-22,191.208,11.25,7.875,11.5,3.625,0.208,,202.458
2011-09-23,193.375,11.792,7.292,9.167,1.875,1.5,,205.167
2011-09-24,193.375,9.583,6.708,8.042,1.333,2.917,,202.958
2011-09-25,188.292,9.708,3.792,4.125,0.333,0.208,,198.0
2011-09-26,186.773,7.0,6.565,8.391,1.826,0.25,,193.773
2011-09-27,187.0,7.792,8.042,9.708,1.667,0.167,,194.792
2011-09-28,188.565,10.609,7.083,10.833,3.75,0.583,,199.174
2011-09-29,184.458,8.667,5.375,6.958,1.583,0.375,,193.125
2011-09-30,185.25,8.083,5.5,6.417,0.917,0.083,,193.333
2011-10-01,186.826,8.652,6.208,6.833,0.625,0.875,,195.478
2011-10-02,191.417,8.083,4.875,5.375,0.5,0.625,,199.5
2011-10-03,187.091,9.409,5.542,6.208,0.667,1.375,,196.5
2011-10-04,187.0,7.625,6.875,8.458,1.583,1.542,,194.625
2011-10-05,183.75,10.292,6.083,6.958,0.875,0.0,,194.042
2011-10-06,185.917,12.417,7.917,9.458,1.542,1.167,,198.333
2011-10-07,193.333,13.625,10.5,12.208,1.708,1.958,,206.958
2011-10-08,195.042,12.833,8.417,10.25,1.833,1.625,,207.875
2011-10-09,191.667,10.792,5.792,6.917,1.125,5.083,,202.458
2011-10-10,189.773,11.364,6.261,7.217,0.957,1.292,,201.136
2011-10-11,187.458,10.958,6.5,8.083,1.583,3.75,,198.417
2011-10-12,188.542,13.917,6.625,10.417,3.792,7.792,,202.458
2011-10-13,187.571,11.0,7.737,8.947,1.211,1.579,,198.571
2011-10-14,183.25,9.875,5.542,7.125,1.583,0.458,,193.125
2011-10-15,185.917,13.417,7.5,9.5,2.0,0.167,,199.333
2011-10-16,190.913,10.609,6.292,7.208,0.917,1.375,,201.522
2011-10-17,194.9,10.35,9.458,13.0,3.542,0.591,,205.25
2011-10-18,193.739,8.391,9.667,13.5,3.833,3.458,,202.13
2011-10-19,192.625,10.917,8.875,11.792,2.917,0.625,,203.542
2011-10-20,191.583,8.208,8.792,12.208,3.417,0.833,,199.792
2011-10-21,184.875,8.583,8.833,13.417,4.583,0.0,,193.458
2011-10-22,184.667,6.375,5.417,6.25,0.833,0.0,,191.042
2011-10-23,188.125,6.458,5.667,7.667,2.0,0.0,,194.583
2011-10-24,188.429,5.571,7.565,10.478,2.913,1.958,,194.0
2011-10-25,188.792,6.917,7.25,8.25,1.0,0.792,,195.708
2011-10-26,191.667,11.25,12.708,19.667,6.958,2.458,,202.917
2011-10-27,193.208,6.292,8.833,15.042,6.208,3.75,,199.5
2011-10-28,189.875,8.208,11.5,14.875,3.375,0.208,,198.083
2011-10-29,186.667,6.125,7.417,9.417,2.0,0.083,,192.792
2011-10-30,184.292,3.583,3.958,4.75,0.792,0.0,,187.875
2011-10-31,189.227,11.636,7.667,10.792,3.125,0.833,,200.864
2011-11-01,187.708,5.625,5.583,6.375,0.792,0.739,,193.333
2011-11-02,185.042,8.083,7.292,8.333,1.042,0.208,,193.125
2011-11-03,184.833,6.708,5.5,6.5,1.0,0.458,,191.542
2011-11-04,184.417,7.5,7.042,8.375,1.333,0.0,,191.917
2011-11-05,183.833,7.292,7.125,8.417,1.292,0.292,,191.125
2011-11-06,184.708,6.75,3.75,4.875,1.125,0.417,,191.458
2011-11-07,188.727,5.455,8.696,11.435,2.739,1.375,,194.182
2011-11-08,195.13,7.391,7.708,11.75,4.042,0.833,,202.522
2011-11-09,191.792,8.417,7.125,8.292,1.167,0.792,,200.208
2011-11-10,189.208,7.708,7.875,9.333,1.458,0.625,,196.917
2011-11-11,189.125,11.208,9.25,12.583,3.333,1.25,,200.333
2011-11-12,191.833,11.542,6.708,10.667,3.958,0.333,,203.375
2011-11-13,195.542,10.542,8.125,9.542,1.417,1.167,,206.083
2011-11-14,193.091,8.591,11.458,16.083,4.625,0.75,,201.682
2011-11-15,195.409,10.5,13.5,21.083,7.583,1.091,,205.909
2011-11-16,198.542,15.458,12.417,19.417,7.0,1.708,,214.0
2011-11-17,193.208,12.625,10.083,14.042,3.958,2.042,,205.833
2011-11-18,187.333,8.708,6.583,7.292,0.708,1.292,,196.042
2011-11-19,184.875,6.042,4.333,4.917,0.583,0.25,,190.917
2011-11-20,189.375,7.083,3.958,4.333,0.375,1.0,,196.458
2011-11-21,189.3,5.3,5.7,6.55,0.85,0.75,,194.6
2011-11-22,194.043,7.652,11.542,18.042,6.5,1.042,,201.696
2011-11-23,196.667,10.333,8.792,11.25,2.458,1.667,,207.0
2011-11-24,188.2,4.8,7.917,9.583,1.667,0.292,,193.0
2011-11-25,193.5,7.625,10.583,17.458,6.875,0.875,,201.125
2011-11-26,194.826,7.826,9.917,16.125,6.208,0.792,,202.652
2011-11-27,188.125,4.083,5.458,6.292,0.833,1.583,,192.208
2011-11-28,186.909,26.727,11.609,14.043,2.435,0.75,,213.636
2011-11-29,191.042,15.833,9.375,17.792,8.417,0.708,,206.875
2011-11-30,190.292,17.417,9.333,15.833,6.5,0.708,,207.708
2011-12-01,189.875,14.792,8.75,12.917,4.167,0.583,,204.667
2011-12-02,187.667,11.333,7.708,9.708,2.0,0.708,,199.0
2011-12-03,185.375,7.917,7.125,8.167,1.042,0.5,,193.292
2011-12-04,190.083,11.083,6.917,9.75,2.833,0.25,,201.167
2011-12-05,189.318,8.045,8.87,12.391,3.522,0.708,,197.364
2011-12-06,190.917,11.458,11.042,16.875,5.833,1.458,,202.375
2011-12-07,196.545,15.773,12.458,21.208,8.75,0.5,,212.318
2011-12-08,191.478,10.217,11.292,15.875,4.583,1.042,,201.696
2011-12-09,188.625,6.0,6.217,6.957,0.739,0.739,,194.625
2011-12-10,189.625,5.667,5.667,6.583,0.917,0.542,,195.292
2011-12-11,190.667,4.375,4.667,5.208,0.542,0.583,,195.042
2011-12-12,192.955,10.182,10.375,16.792,6.417,0.708,,203.136
2011-12-13,195.542,16.167,12.667,25.25,12.583,2.125,,211.708
2011-12-14,195.739,17.043,11.625,22.792,11.167,0.792,,212.783
2011-12-15,193.75,14.292,8.792,21.375,12.583,1.375,,208.042
2011-12-16,188.875,6.125,4.917,5.292,0.375,1.042,,195.0
2011-12-17,190.625,6.708,7.583,8.958,1.375,0.917,,197.333
2011-12-18,195.417,10.292,8.833,11.25,2.417,0.708,,205.708
2011-12-19,194.263,11.895,10.348,19.652,9.304,0.81,,206.158
2011-12-20,196.5,13.458,12.958,23.917,10.958,1.667,,209.958
2011-12-21,196.833,14.917,15.917,21.792,5.875,1.542,,211.75
2011-12-22,193.0,10.75,9.042,16.417,7.375,1.375,,203.75
2011-12-23,189.0,6.417,7.75,11.0,3.25,0.958,,195.417
2011-12-24,191.958,10.292,9.542,13.375,3.833,2.292,,202.25
2011-12-25,189.292,3.417,3.083,3.25,0.167,1.25,,192.708
2011-12-26,189.667,3.333,5.043,5.348,0.304,1.542,,193.0
2011-12-27,194.5,11.208,12.5,18.458,5.958,0.917,,205.708
2011-12-28,197.167,10.167,12.417,19.875,7.458,2.917,,207.333
2011-12-29,196.625,9.583,12.75,19.542,6.792,2.083,,206.208
2011-12-30,196.375,8.708,10.708,15.5,4.792,1.5,,205.083
2011-12-31,195.917,8.083,7.458,10.375,2.917,0.75,,204.0
2012-01-01,197.5,8.083,4.667,5.042,0.375,0.375,,205.583
2012-01-02,199.667,9.375,4.583,7.042,2.458,1.208,,209.042
2012-01-03,194.167,5.292,2.417,2.542,0.125,1.125,,199.458
2012-01-04,196.625,10.25,7.917,9.125,1.208,0.75,,206.875
2012-01-05,197.125,9.417,8.333,9.5,1.167,1.125,,206.542
2012-01-06,194.417,8.167,6.833,7.917,1.083,1.0,,202.583
2012-01-07,197.833,12.0,11.083,15.5,4.417,1.0,,209.833
2012-01-08,196.375,17.042,13.783,17.739,3.957,1.087,,213.417
2012-01-09,197.417,11.875,11.083,18.583,7.5,2.958,,209.292
2012-01-10,193.875,7.583,7.292,8.125,0.833,1.0,,201.458
2012-01-11,200.375,12.583,14.458,23.083,8.625,3.042,,212.958
2012-01-12,198.833,16.5,12.208,15.375,3.167,1.0,,215.333
2012-01-13,197.708,12.5,9.0,10.75,1.75,0.0,,210.208
2012-01-14,192.652,8.087,5.083,5.292,0.208,1.208,,200.739
2012-01-15,197.167,11.458,11.708,15.0,3.292,2.25,,208.625
2012-01-16,200.5,13.375,10.375,17.208,6.833,1.042,,213.875
2012-01-17,197.333,13.208,6.875,7.292,0.417,0.833,,210.542
2012-01-18,198.833,12.458,13.292,18.708,5.417,1.042,,211.292
2012-01-19,201.292,13.833,11.542,15.167,3.625,0.625,,215.125
2012-01-20,201.375,11.917,9.25,12.25,3.0,1.167,,213.292
2012-01-21,198.458,13.833,13.042,15.083,2.042,0.958,,212.292
2012-01-22,194.458,11.083,9.292,10.458,1.167,0.5,,205.542
