date,SO2_mean
2011-01-01,3.083
2011-01-02,2.625
2011-01-03,4.917
2011-01-04,4.125
2011-01-05,2.955
2011-01-06,3.0
2011-01-07,2.333
2011-01-08,2.083
2011-01-09,5.167
2011-01-10,5.292
2011-01-11,3.958
2011-01-12,2.958
2011-01-13,4.75
2011-01-14,4.125
2011-01-15,2.625
2011-01-16,4.042
2011-01-17,10.25
2011-01-18,4.667
2011-01-19,4.867
2011-01-20,8.913
2011-01-21,6.542
2011-01-22,4.417
2011-01-23,1.833
2011-01-24,1.792
2011-01-25,2.667
2011-01-26,2.292
2011-01-27,3.958
2011-01-28,4.208
2011-01-29,2.333
2011-01-30,2.625
2011-01-31,2.833
2011-02-01,4.333
2011-02-02,1.727
2011-02-03,1.875
2011-02-04,4.792
2011-02-05,6.042
2011-02-06,9.458
2011-02-07,3.292
2011-02-08,1.583
2011-02-09,2.125
2011-02-10,2.5
2011-02-11,2.083
2011-02-12,2.333
2011-02-13,6.333
2011-02-14,5.333
2011-02-15,7.75
2011-02-16,6.0
2011-02-17,2.083
2011-02-18,2.208
2011-02-19,1.958
2011-02-20,3.417
2011-02-21,4.917
2011-02-22,10.667
2011-02-23,5.0
2011-02-24,7.083
2011-02-25,5.583
2011-02-26,3.0
2011-02-27,5.875
2011-02-28,6.708
2011-03-01,10.636
2011-03-02,6.583
2011-03-03,9.167
2011-03-04,5.292
2011-03-05,4.625
2011-03-06,4.042
2011-03-07,6.833
2011-03-08,7.833
2011-03-09,9.417
2011-03-10,4.167
2011-03-11,3.875
2011-03-12,2.333
2011-03-13,2.875
2011-03-14,4.542
2011-03-15,9.435
2011-03-16,13.0
2011-03-17,7.667
2011-03-18,4.708
2011-03-19,4.208
2011-03-20,4.708
2011-03-21,5.125
2011-03-22,8.667
2011-03-23,6.583
2011-03-24,3.667
2011-03-25,3.958
2011-03-26,3.75
2011-03-27,5.708
2011-03-28,6.375
2011-03-29,8.182
2011-03-30,11.375
2011-03-31,3.125
2011-04-01,8.708
2011-04-02,6.542
2011-04-03,4.792
2011-04-04,10.958
2011-04-05,11.875
2011-04-06,8.167
2011-04-07,13.042
2011-04-08,8.333
2011-04-09,4.375
2011-04-10,7.333
2011-04-11,7.0
2011-04-12,5.375
2011-04-13,6.75
2011-04-14,12.364
2011-04-15,13.167
2011-04-16,6.667
2011-04-17,6.0
2011-04-18,4.208
2011-04-19,2.208
2011-04-20,3.25
2011-04-21,7.25
2011-04-22,10.208
2011-04-23,2.917
2011-04-24,4.542
2011-04-25,5.833
2011-04-26,14.542
2011-04-27,6.957
2011-04-28,3.417
2011-04-29,4.875
2011-04-30,11.417
2011-05-01,4.5
2011-05-02,5.625
2011-05-03,5.833
2011-05-04,6.708
2011-05-05,6.958
2011-05-06,10.917
2011-05-07,5.0
2011-05-08,5.5
2011-05-09,11.333
2011-05-10,6.375
2011-05-11,3.333
2011-05-12,2.81
2011-05-13,4.25
2011-05-14,6.5
2011-05-15,8.75
2011-05-16,9.417
2011-05-17,6.917
2011-05-18,10.292
2011-05-19,10.542
2011-05-20,8.958
2011-05-21,13.333
2011-05-22,4.458
2011-05-23,3.833
2011-05-24,4.792
2011-05-25,7.375
2011-05-26,4.909
2011-05-27,3.583
2011-05-28,2.042
2011-05-29,1.25
2011-05-30,2.958
2011-05-31,10.167
2011-06-01,11.458
2011-06-02,10.375
2011-06-03,9.667
2011-06-04,6.625
2011-06-05,6.583
2011-06-06,8.042
2011-06-07,9.333
2011-06-08,5.75
2011-06-09,6.364
2011-06-10,7.833
2011-06-11,2.833
2011-06-12,3.75
2011-06-13,3.75
2011-06-14,7.792
2011-06-15,12.667
2011-06-16,4.292
2011-06-17,7.125
2011-06-18,10.625
2011-06-19,3.727
2011-06-20,6.833
2011-06-21,6.542
2011-06-22,12.542
2011-06-23,8.909
2011-06-24,7.833
2011-06-25,5.917
2011-06-26,6.708
2011-06-27,6.917
2011-06-28,9.5
2011-06-29,8.5
2011-06-30,8.875
2011-07-01,4.708
2011-07-02,6.25
2011-07-03,9.25
2011-07-04,5.583
2011-07-05,6.417
2011-07-06,9.0
2011-07-07,8.8
2011-07-08,6.167
2011-07-09,7.375
2011-07-10,7.125
2011-07-11,7.208
2011-07-12,7.167
2011-07-13,7.375
2011-07-14,6.708
2011-07-15,9.375
2011-07-16,8.167
2011-07-17,9.667
2011-07-18,4.708
2011-07-19,2.333
2011-07-20,3.125
2011-07-21,4.636
2011-07-22,7.0
2011-07-23,7.917
2011-07-24,6.542
2011-07-25,5.792
2011-07-26,8.583
2011-07-27,7.25
2011-07-28,8.125
2011-07-29,7.917
2011-07-30,6.708
2011-07-31,6.583
2011-08-01,9.042
2011-08-02,10.875
2011-08-03,10.667
2011-08-04,9.409
2011-08-05,9.375
2011-08-06,6.375
2011-08-07,6.333
2011-08-08,8.208
2011-08-09,7.5
2011-08-10,8.375
2011-08-11,5.958
2011-08-12,7.5
2011-08-13,7.667
2011-08-14,5.583
2011-08-15,4.333
2011-08-16,5.292
2011-08-17,6.167
2011-08-18,5.478
2011-08-19,4.417
2011-08-20,5.5
2011-08-21,1.708
2011-08-22,4.917
2011-08-23,4.542
2011-08-24,4.75
2011-08-25,7.75
2011-08-26,7.708
2011-08-27,8.25
2011-08-28,5.0
2011-08-29,8.542
2011-08-30,10.833
2011-08-31,9.667
2011-09-01,8.318
2011-09-02,2.583
2011-09-03,1.042
2011-09-04,3.0
2011-09-05,4.042
2011-09-06,5.458
2011-09-07,5.875
2011-09-08,8.292
2011-09-09,7.417
2011-09-10,7.333
2011-09-11,4.708
2011-09-12,7.75
2011-09-13,7.167
2011-09-14,8.333
2011-09-15,7.318
2011-09-16,3.917
2011-09-17,0.125
2011-09-18,3.083
2011-09-19,3.0
2011-09-20,1.923
2011-09-21,2.0
2011-09-22,3.458
2011-09-23,3.792
2011-09-24,4.333
2011-09-25,4.417
2011-09-26,5.5
2011-09-27,6.333
2011-09-28,5.333
2011-09-29,5.905
2011-09-30,2.875
2011-10-01,4.708
2011-10-02,3.667
2011-10-03,4.625
2011-10-04,9.25
2011-10-05,3.542
2011-10-06,2.958
2011-10-07,3.292
2011-10-08,4.75
2011-10-09,4.292
2011-10-10,4.667
2011-10-11,6.542
2011-10-12,4.958
2011-10-13,6.045
2011-10-14,4.958
2011-10-15,2.292
2011-10-16,4.25
2011-10-17,3.667
2011-10-18,7.125
2011-10-19,6.833
2011-10-20,7.708
2011-10-21,4.208
2011-10-22,3.208
2011-10-23,2.583
2011-10-24,5.417
2011-10-25,3.042
2011-10-26,6.5
2011-10-27,8.682
2011-10-28,5.958
2011-10-29,6.042
2011-10-30,2.917
2011-10-31,5.417
2011-11-01,7.625
2011-11-02,5.583
2011-11-03,6.125
2011-11-04,7.0
2011-11-05,3.75
2011-11-06,1.542
2011-11-07,4.542
2011-11-08,5.417
2011-11-09,10.542
2011-11-10,7.095
2011-11-11,5.25
2011-11-12,4.708
2011-11-13,3.0
2011-11-14,4.5
2011-11-15,4.042
2011-11-16,4.833
2011-11-17,9.125
2011-11-18,5.25
2011-11-19,2.208
2011-11-20,4.25
2011-11-21,3.125
2011-11-22,2.833
2011-11-23,3.375
2011-11-24,2.429
2011-11-25,1.917
2011-11-26,4.292
2011-11-27,4.083
2011-11-28,6.292
2011-11-29,8.292
2011-11-30,9.042
2011-12-01,3.833
2011-12-02,4.917
2011-12-03,2.25
2011-12-04,1.708
2011-12-05,3.792
2011-12-06,5.833
2011-12-07,2.708
2011-12-08,2.364
2011-12-09,4.083
2011-12-10,1.875
2011-12-11,2.208
2011-12-12,2.375
2011-12-13,4.125
2011-12-14,6.708
2011-12-15,3.958
2011-12-16,2.708
2011-12-17,2.333
2011-12-18,2.583
2011-12-19,3.208
2011-12-20,2.667
2011-12-21,4.292
2011-12-22,4.227
2011-12-23,1.958
2011-12-24,2.333
2011-12-25,1.75
2011-12-26,1.542
2011-12-27,2.25
2011-12-28,2.375
2011-12-29,3.167
2011-12-30,2.083
2011-12-31,1.958
2012-01-01,2.083
2012-01-02,3.333
2012-01-03,1.833
2012-01-04,1.333
2012-01-05,2.875
2012-01-06,2.583
2012-01-07,2.25
2012-01-08,2.917
2012-01-09,3.042
2012-01-10,1.913
2012-01-11,3.583
2012-01-12,3.958
2012-01-13,3.25
2012-01-14,2.167
2012-01-15,3.625
2012-01-16,4.375
