date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,198.5,61.0,47.917,36.0,9.625,18.792,20.667,1.875,0.75,17.333,10.2,6.308,3.2,208.125
2011-01-02,196.208,69.0,46.958,25.0,7.458,14.208,14.583,0.375,0.417,11.083,11.8,6.171,2.9,203.667
2011-01-03,196.958,65.0,42.917,24.0,6.625,15.833,17.5,1.667,0.083,8.958,10.8,4.7,-0.8,203.583
2011-01-04,198.75,72.0,47.708,29.0,10.167,16.083,20.083,4.0,1.083,11.583,11.7,5.104,-0.9,208.917
2011-01-05,197.708,56.0,33.458,22.0,12.917,20.958,32.0,11.042,0.542,7.792,10.6,4.854,0.0,210.625
2011-01-06,200.792,70.0,52.875,34.0,26.833,29.958,64.0,34.042,0.958,13.5,9.8,4.121,-1.2,227.625
2011-01-07,197.167,67.0,42.083,17.0,12.0,24.292,33.667,9.375,0.667,10.75,9.5,4.583,1.0,209.167
2011-01-08,197.667,64.0,38.625,23.0,9.375,18.583,26.708,8.125,0.458,10.708,10.2,4.996,-0.4,207.042
2011-01-09,200.333,64.0,47.875,33.0,19.0,25.958,36.625,10.667,0.875,18.5,10.7,5.317,1.0,219.333
2011-01-10,199.833,76.0,57.917,35.0,21.958,29.042,44.792,15.75,0.917,19.875,9.9,5.367,0.0,221.792
2011-01-11,196.25,78.0,48.75,29.0,15.583,21.75,36.292,14.542,1.042,17.833,10.4,5.554,1.5,211.833
2011-01-12,197.375,63.0,39.833,22.0,16.833,26.083,40.042,13.958,0.875,12.417,6.9,2.871,-0.1,214.208
2011-01-13,200.652,78.0,56.792,35.0,36.957,31.565,68.913,37.348,1.045,21.727,11.4,4.338,-1.4,237.609
2011-01-14,199.542,72.0,51.292,36.0,18.375,27.792,39.125,11.333,1.167,16.375,7.9,3.975,1.2,217.917
