date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-04-01,93.0,56.417,18.0,30.208,43.875,13.667,3.875,19.583,18.9,10.154,2.0
2011-04-02,88.0,66.292,46.0,20.75,31.958,11.208,4.708,25.542,16.7,9.55,6.2
2011-04-03,58.0,47.083,37.0,1.833,2.542,0.708,2.917,12.292,9.4,6.55,4.7
2011-04-04,59.0,51.208,40.0,6.333,8.375,2.042,3.0,12.417,11.3,7.183,2.9
2011-04-05,91.0,56.333,25.0,24.208,34.25,10.042,2.958,18.167,15.0,7.475,0.6
2011-04-06,96.0,57.917,19.0,29.478,43.87,14.391,2.913,21.125,19.2,10.904,2.4
2011-04-07,75.0,56.083,37.0,30.13,48.261,18.13,3.043,18.652,22.2,14.892,8.8
2011-04-08,96.0,85.5,63.0,30.042,44.417,14.375,2.917,24.583,14.9,13.188,10.4
2011-04-09,96.0,78.458,51.0,11.708,15.375,3.667,2.375,17.167,15.3,12.242,8.6
2011-04-10,93.0,51.542,16.0,15.917,18.833,2.917,3.667,32.167,19.4,12.442,6.2
2011-04-11,79.0,64.875,37.0,21.125,27.333,6.208,3.458,29.417,17.3,9.612,6.5
2011-04-12,72.0,43.042,21.0,13.375,17.125,3.75,2.958,30.417,13.4,9.317,5.9
2011-04-13,77.0,53.375,28.0,32.0,55.476,23.476,3.762,26.0,19.5,11.504,3.6
2011-04-14,86.0,52.458,21.0,37.875,53.708,15.833,3.292,29.875,22.3,14.292,5.7
2011-04-15,93.0,72.125,48.0,31.125,44.333,13.208,2.792,32.958,19.8,14.788,10.4
2011-04-16,94.0,73.667,55.0,11.042,14.875,3.833,1.417,31.583,14.7,11.642,7.6
2011-04-17,75.0,50.792,27.0,7.667,9.125,1.458,1.542,16.333,15.7,10.642,6.8
2011-04-18,96.0,75.333,46.0,18.708,28.5,9.792,1.375,20.833,20.2,12.712,7.7
2011-04-19,96.0,85.708,54.0,17.833,22.875,5.042,1.25,12.958,13.7,9.221,7.7
2011-04-20,95.0,80.0,64.0,12.826,21.522,8.696,1.043,7.25,10.8,8.742,5.3
2011-04-21,93.0,64.208,36.0,25.625,39.667,14.042,1.583,16.708,19.2,11.304,3.5
2011-04-22,96.0,84.083,59.0,32.957,49.565,16.609,1.783,31.478,15.9,12.371,9.4
2011-04-23,96.0,92.083,81.0,20.875,28.125,7.25,1.917,20.292,16.7,11.992,6.9
2011-04-24,96.0,75.333,40.0,17.583,21.25,3.667,2.167,15.042,15.5,9.867,5.9
